"year"	"annual"
1866	-0.16
1867	-0.03
1868	-0.88
1869	0.55
1870	-0.15
1871	-0.15
1872	1.91
1873	0.08
1874	0.59
1875	0.27
1876	0.44
1877	-1.8
1878	0.17
1879	1.27
1880	0.79
1881	-0.59
1882	-0.6
1883	-0.25
1884	-0.38
1885	-0.68
1886	0.7
1887	0.47
1888	-1.27
1889	0.16
1890	0.56
1891	-0.28
1892	0.52
1893	0.99
1894	0.21
1895	-0.25
1896	-1.55
1897	-0.68
1898	0.57
1899	0.16
1900	-0.65
1901	0.07
1902	0.1
1903	0.47
1904	0.39
1905	-1.79
1906	0.21
1907	-0.2
1908	0.28
1909	0.29
1910	1.26
1911	-0.64
1912	-0.98
1913	-0.68
1914	-0.93
1915	0.16
1916	0.64
1917	2.14
1918	0.05
1919	-1.09
1920	0.09
1921	0.66
1922	0.33
1923	-0.36
1924	0.34
1925	-0.24
1926	-0.49
1927	0.27
1928	0.42
1929	0.46
1930	0.03
1931	0.39
1932	-0.68
1933	0.09
1934	-0.01
1935	0.14
1936	0.03
1937	0.08
1938	0.87
1939	0.02
1940	-1.52
1941	-1.45
1942	0.02
1943	0.36
1944	-0.28
1945	0.42
1946	-0.79
1947	0.16
1948	-0.23
1949	-0.21
1950	1.51
1951	-0.69
1952	-0.22
1953	-0.77
1954	0.23
1955	0.9
1956	1.02
1957	-0.45
1958	-0.5
1959	-0.1
1960	0.29
1961	-0.01
1962	0.39
1963	-0.32
1964	0.54
1965	-0.95
1966	-0.54
1967	0.25
1968	0.2
1969	-0.66
1970	0.29
1971	1.07
1972	-0.83
1973	0.64
1974	0.96
1975	1.33
1976	0.06
1977	-1.14
1978	-0.29
1979	-0.26
1980	-0.43
1981	0.07
1982	-1.45
1983	-0.95
1984	-0.14
1985	-0.02
1986	-0.32
1987	-1.48
1988	0.74
1989	0.62
1990	-0.33
1991	-1.01
1992	-1.23
1993	-1.11
1994	-1.35
1995	-0.33
1996	0.56
1997	-1.29
1998	-0.23
1999	0.79
2000	0.72
2001	-0.08
2002	-0.72
2003	-0.43
2004	-0.63
2005	-0.46
2006	-0.28
2007	0.03
2008	1
2009	-0.13
2010	0.95
