Date,LakeLevel
1/1/2007,3732.65
1/2/2007,3732.65
1/3/2007,3732.65
1/4/2007,3732.64
1/5/2007,3732.64
1/6/2007,3732.64
1/7/2007,3732.64
1/8/2007,3732.64
1/9/2007,3732.64
1/10/2007,3732.64
1/11/2007,3732.64
1/12/2007,3732.64
1/13/2007,3732.62
1/14/2007,3732.62
1/15/2007,3732.62
1/16/2007,3732.61
1/17/2007,3732.61
1/18/2007,3732.61
1/19/2007,3732.61
1/20/2007,3732.61
1/21/2007,3732.6
1/22/2007,3732.61
1/23/2007,3732.62
1/24/2007,3732.62
1/25/2007,3732.63
1/26/2007,3732.62
1/27/2007,3732.61
1/28/2007,3732.61
1/29/2007,3732.61
1/30/2007,3732.61
1/31/2007,3732.61
2/1/2007,3732.61
2/2/2007,3732.61
2/3/2007,3732.61
2/4/2007,3732.61
2/5/2007,3732.61
2/6/2007,3732.61
2/7/2007,3732.61
2/8/2007,3732.61
2/9/2007,3732.61
2/10/2007,3732.61
2/11/2007,3732.61
2/12/2007,3732.61
2/13/2007,3732.61
2/14/2007,3732.61
2/15/2007,3732.61
2/16/2007,3732.61
2/17/2007,3732.61
2/18/2007,3732.61
2/19/2007,3732.61
2/20/2007,3732.6
2/21/2007,3732.6
2/22/2007,3732.6
2/23/2007,3732.6
2/24/2007,3732.6
2/25/2007,3732.6
2/26/2007,3732.6
2/27/2007,3732.6
2/28/2007,3732.6
3/1/2007,3732.59
3/2/2007,3732.59
3/3/2007,3732.59
3/4/2007,3732.59
3/5/2007,3732.59
3/6/2007,3732.59
3/7/2007,3732.59
3/8/2007,3732.59
3/9/2007,3732.59
3/10/2007,3732.59
3/11/2007,3732.59
3/12/2007,3732.59
3/13/2007,3732.59
3/14/2007,3732.59
3/15/2007,3732.59
3/16/2007,3732.55
3/17/2007,3732.55
3/18/2007,3732.55
3/19/2007,3732.57
3/20/2007,3732.57
3/21/2007,3732.56
3/22/2007,3732.56
3/23/2007,3732.57
3/24/2007,3732.57
3/25/2007,3732.57
3/26/2007,3732.57
3/27/2007,3732.57
3/28/2007,3732.58
3/29/2007,3732.58
3/30/2007,3732.58
3/31/2007,3732.58
4/1/2007,3732.58
4/2/2007,3732.58
4/3/2007,3732.58
4/4/2007,3732.58
4/5/2007,3732.58
4/6/2007,3732.58
4/7/2007,3732.58
4/8/2007,3732.58
4/9/2007,3732.58
4/10/2007,3732.58
4/11/2007,3732.58
4/12/2007,3732.58
4/13/2007,3732.59
4/14/2007,3732.6
4/15/2007,3732.63
4/16/2007,3732.66
4/17/2007,3732.7
4/18/2007,3732.73
4/19/2007,3732.76
4/20/2007,3732.77
4/21/2007,3732.78
4/22/2007,3732.81
4/23/2007,3732.84
4/24/2007,3732.86
4/25/2007,3732.87
4/26/2007,3732.88
4/27/2007,3732.91
4/28/2007,3732.95
4/29/2007,3732.98
4/30/2007,3733.01
5/1/2007,3733.03
5/2/2007,3733.05
5/3/2007,3733.06
5/4/2007,3733.1
5/5/2007,3733.14
5/6/2007,3733.15
5/7/2007,3733.14
5/8/2007,3733.14
5/9/2007,3733.13
5/10/2007,3733.11
5/11/2007,3733.1
5/12/2007,3733.1
5/13/2007,3733.14
5/14/2007,3733.15
5/15/2007,3733.18
5/16/2007,3733.24
5/17/2007,3733.28
5/18/2007,3733.3
5/19/2007,3733.34
5/20/2007,3733.38
5/21/2007,3733.37
5/22/2007,3733.34
5/23/2007,3733.29
5/24/2007,3733.26
5/25/2007,3733.24
5/26/2007,3733.24
5/27/2007,3733.26
5/28/2007,3733.25
5/29/2007,3733.26
5/30/2007,3733.27
5/31/2007,3733.32
6/1/2007,3733.35
6/2/2007,3733.35
6/3/2007,3733.37
6/4/2007,3733.39
6/5/2007,3733.4
6/6/2007,3733.41
6/7/2007,3733.42
6/8/2007,3733.44
6/9/2007,3733.46
6/10/2007,3733.48
6/11/2007,3733.48
6/12/2007,3733.47
6/13/2007,3733.47
6/14/2007,3733.48
6/15/2007,3733.5
6/16/2007,3733.5
6/17/2007,3733.5
6/18/2007,3733.49
6/19/2007,3733.49
6/20/2007,3733.46
6/21/2007,3733.4
6/22/2007,3733.46
6/23/2007,3733.5
6/24/2007,3733.5
6/25/2007,3733.51
6/26/2007,3733.52
6/27/2007,3733.53
6/28/2007,3733.78
6/29/2007,3733.8
6/30/2007,3733.82
7/1/2007,3733.8
7/2/2007,3733.77
7/3/2007,3733.75
7/4/2007,3733.69
7/5/2007,3733.7
7/6/2007,3733.7
7/7/2007,3733.7
7/8/2007,3733.7
7/9/2007,3733.69
7/10/2007,3733.54
7/11/2007,3733.55
7/12/2007,3733.54
7/13/2007,3733.54
7/14/2007,3733.56
7/15/2007,3733.65
7/16/2007,3733.85
7/17/2007,3733.84
7/18/2007,3733.84
7/19/2007,3733.85
7/20/2007,3733.89
7/21/2007,3733.9
7/22/2007,3733.88
7/23/2007,3733.86
7/24/2007,3733.84
7/25/2007,3733.81
7/26/2007,3733.81
7/27/2007,3733.82
7/28/2007,3733.84
7/29/2007,3733.87
7/30/2007,3733.87
7/31/2007,3733.84
8/1/2007,3733.82
8/2/2007,3733.79
8/3/2007,3733.78
8/4/2007,3733.77
8/5/2007,3733.76
8/6/2007,3733.76
8/7/2007,3733.76
8/8/2007,3733.76
8/9/2007,3733.78
8/10/2007,3733.79
8/11/2007,3733.81
8/12/2007,3733.88
8/13/2007,3733.84
8/14/2007,3733.86
8/15/2007,3733.84
8/16/2007,3733.8
8/17/2007,3733.78
8/18/2007,3733.71
8/19/2007,3733.68
8/20/2007,3733.63
8/21/2007,3733.63
8/22/2007,3733.63
8/23/2007,3733.63
8/24/2007,3733.65
8/25/2007,3733.67
8/26/2007,3733.66
8/27/2007,3733.67
8/28/2007,3733.67
8/29/2007,3733.67
8/30/2007,3733.67
8/31/2007,3733.67
9/1/2007,3733.67
9/2/2007,3733.66
9/3/2007,3733.63
9/4/2007,3733.63
9/5/2007,3733.643
9/6/2007,3733.62
9/7/2007,3733.62
9/8/2007,3733.613
