"","Date","Value"
"85","1/1/1955",4.9
"86","2/1/1955",4.7
"87","3/1/1955",4.6
"88","4/1/1955",4.7
"89","5/1/1955",4.3
"90","6/1/1955",4.2
"91","7/1/1955",4
"92","8/1/1955",4.2
"93","9/1/1955",4.1
"94","10/1/1955",4.3
"95","11/1/1955",4.2
"96","12/1/1955",4.2
"97","1/1/1956",4
"98","2/1/1956",3.9
"99","3/1/1956",4.2
"100","4/1/1956",4
"101","5/1/1956",4.3
"102","6/1/1956",4.3
"103","7/1/1956",4.4
"104","8/1/1956",4.1
"105","9/1/1956",3.9
"106","10/1/1956",3.9
"107","11/1/1956",4.3
"108","12/1/1956",4.2
"109","1/1/1957",4.2
"110","2/1/1957",3.9
"111","3/1/1957",3.7
"112","4/1/1957",3.9
"113","5/1/1957",4.1
"114","6/1/1957",4.3
"115","7/1/1957",4.2
"116","8/1/1957",4.1
"117","9/1/1957",4.4
"118","10/1/1957",4.5
"119","11/1/1957",5.1
"120","12/1/1957",5.2
"121","1/1/1958",5.8
"122","2/1/1958",6.4
"123","3/1/1958",6.7
"124","4/1/1958",7.4
"125","5/1/1958",7.4
"126","6/1/1958",7.3
"127","7/1/1958",7.5
"128","8/1/1958",7.4
"129","9/1/1958",7.1
"130","10/1/1958",6.7
"131","11/1/1958",6.2
"132","12/1/1958",6.2
"133","1/1/1959",6
"134","2/1/1959",5.9
"135","3/1/1959",5.6
"136","4/1/1959",5.2
"137","5/1/1959",5.1
"138","6/1/1959",5
"139","7/1/1959",5.1
"140","8/1/1959",5.2
"141","9/1/1959",5.5
"142","10/1/1959",5.7
"143","11/1/1959",5.8
"144","12/1/1959",5.3
"145","1/1/1960",5.2
"146","2/1/1960",4.8
"147","3/1/1960",5.4
"148","4/1/1960",5.2
"149","5/1/1960",5.1
"150","6/1/1960",5.4
"151","7/1/1960",5.5
"152","8/1/1960",5.6
"153","9/1/1960",5.5
"154","10/1/1960",6.1
"155","11/1/1960",6.1
"156","12/1/1960",6.6
"157","1/1/1961",6.6
"158","2/1/1961",6.9
"159","3/1/1961",6.9
"160","4/1/1961",7
"161","5/1/1961",7.1
"162","6/1/1961",6.9
"163","7/1/1961",7
"164","8/1/1961",6.6
"165","9/1/1961",6.7
"166","10/1/1961",6.5
"167","11/1/1961",6.1
"168","12/1/1961",6
"169","1/1/1962",5.8
"170","2/1/1962",5.5
"171","3/1/1962",5.6
"172","4/1/1962",5.6
"173","5/1/1962",5.5
"174","6/1/1962",5.5
"175","7/1/1962",5.4
"176","8/1/1962",5.7
"177","9/1/1962",5.6
"178","10/1/1962",5.4
"179","11/1/1962",5.7
"180","12/1/1962",5.5
"181","1/1/1963",5.7
"182","2/1/1963",5.9
"183","3/1/1963",5.7
"184","4/1/1963",5.7
"185","5/1/1963",5.9
"186","6/1/1963",5.6
"187","7/1/1963",5.6
"188","8/1/1963",5.4
"189","9/1/1963",5.5
"190","10/1/1963",5.5
"191","11/1/1963",5.7
"192","12/1/1963",5.5
"193","1/1/1964",5.6
"194","2/1/1964",5.4
"195","3/1/1964",5.4
"196","4/1/1964",5.3
"197","5/1/1964",5.1
"198","6/1/1964",5.2
"199","7/1/1964",4.9
"200","8/1/1964",5
"201","9/1/1964",5.1
"202","10/1/1964",5.1
"203","11/1/1964",4.8
"204","12/1/1964",5
"205","1/1/1965",4.9
"206","2/1/1965",5.1
"207","3/1/1965",4.7
"208","4/1/1965",4.8
"209","5/1/1965",4.6
"210","6/1/1965",4.6
"211","7/1/1965",4.4
"212","8/1/1965",4.4
"213","9/1/1965",4.3
"214","10/1/1965",4.2
"215","11/1/1965",4.1
"216","12/1/1965",4
"217","1/1/1966",4
"218","2/1/1966",3.8
"219","3/1/1966",3.8
"220","4/1/1966",3.8
"221","5/1/1966",3.9
"222","6/1/1966",3.8
"223","7/1/1966",3.8
"224","8/1/1966",3.8
"225","9/1/1966",3.7
"226","10/1/1966",3.7
"227","11/1/1966",3.6
"228","12/1/1966",3.8
"229","1/1/1967",3.9
"230","2/1/1967",3.8
"231","3/1/1967",3.8
"232","4/1/1967",3.8
"233","5/1/1967",3.8
"234","6/1/1967",3.9
"235","7/1/1967",3.8
"236","8/1/1967",3.8
"237","9/1/1967",3.8
"238","10/1/1967",4
"239","11/1/1967",3.9
"240","12/1/1967",3.8
"241","1/1/1968",3.7
"242","2/1/1968",3.8
"243","3/1/1968",3.7
"244","4/1/1968",3.5
"245","5/1/1968",3.5
"246","6/1/1968",3.7
"247","7/1/1968",3.7
"248","8/1/1968",3.5
"249","9/1/1968",3.4
"250","10/1/1968",3.4
"251","11/1/1968",3.4
"252","12/1/1968",3.4
"253","1/1/1969",3.4
"254","2/1/1969",3.4
"255","3/1/1969",3.4
"256","4/1/1969",3.4
"257","5/1/1969",3.4
"258","6/1/1969",3.5
"259","7/1/1969",3.5
"260","8/1/1969",3.5
"261","9/1/1969",3.7
"262","10/1/1969",3.7
"263","11/1/1969",3.5
"264","12/1/1969",3.5
"265","1/1/1970",3.9
"266","2/1/1970",4.2
"267","3/1/1970",4.4
"268","4/1/1970",4.6
"269","5/1/1970",4.8
"270","6/1/1970",4.9
"271","7/1/1970",5
"272","8/1/1970",5.1
"273","9/1/1970",5.4
"274","10/1/1970",5.5
"275","11/1/1970",5.9
"276","12/1/1970",6.1
"277","1/1/1971",5.9
"278","2/1/1971",5.9
"279","3/1/1971",6
"280","4/1/1971",5.9
"281","5/1/1971",5.9
"282","6/1/1971",5.9
"283","7/1/1971",6
"284","8/1/1971",6.1
"285","9/1/1971",6
"286","10/1/1971",5.8
"287","11/1/1971",6
"288","12/1/1971",6
"289","1/1/1972",5.8
"290","2/1/1972",5.7
"291","3/1/1972",5.8
"292","4/1/1972",5.7
"293","5/1/1972",5.7
"294","6/1/1972",5.7
"295","7/1/1972",5.6
"296","8/1/1972",5.6
"297","9/1/1972",5.5
"298","10/1/1972",5.6
