"","x"
"2010-09-24",42.490002
"2010-10-01",45.84
"2010-10-08",45.43
"2010-10-15",45.75
"2010-10-22",44.91
"2010-10-29",45.669998
"2010-11-05",44.240002
"2010-11-12",44.330002
"2010-11-19",44.189999
"2010-11-26",44.310001
"2010-12-03",44.610001
"2010-12-10",46.669998
"2010-12-17",48.34
"2010-12-24",48.419998
"2010-12-31",48.459999
"2011-01-07",49.869999
"2011-01-14",51.139999
"2011-01-21",52.360001
"2011-01-28",52.779999
"2011-02-04",52.990002
"2011-02-11",54.040001
"2011-02-18",51.75
"2011-02-25",53.029999
"2011-03-04",51.389999
"2011-03-11",49.02
"2011-03-18",51.959999
"2011-03-25",54.970001
"2011-04-01",54.84
"2011-04-08",55.560001
"2011-04-15",56.810001
"2011-04-22",56.990002
"2011-04-29",54.93
"2011-05-06",56.599998
"2011-05-13",56.939999
"2011-05-20",57.029999
"2011-05-27",56.810001
"2011-06-03",56.349998
"2011-06-10",53.98
"2011-06-17",55.689999
"2011-06-24",60.419998
"2011-07-01",63.439999
"2011-07-08",60.830002
"2011-07-15",61.740002
"2011-07-22",59.689999
"2011-07-29",56.98
"2011-08-05",54
"2011-08-12",48.860001
"2011-08-19",50.75
"2011-08-26",52.900002
"2011-09-02",52.169998
"2011-09-09",53.02
"2011-09-16",50.360001
"2011-09-23",54.439999
"2011-09-30",55.299999
"2011-10-07",57.18
"2011-10-14",57.09
"2011-10-21",61.150002
"2011-10-28",59.220001
"2011-11-04",57
"2011-11-11",55.700001
"2011-11-18",53.630001
"2011-11-25",57.970001
"2011-12-02",56.669998
"2011-12-09",56.130001
"2011-12-16",52.580002
"2011-12-23",53.84
"2011-12-30",51.919998
"2012-01-06",53.939999
"2012-01-13",54.799999
"2012-01-20",56.919998
"2012-01-27",57.77
"2012-02-03",57.41
"2012-02-10",58.450001
"2012-02-17",59.41
"2012-02-24",59.68
"2012-03-02",60.27
"2012-03-09",63.630001
"2012-03-16",63.52
"2012-03-23",64.5
"2012-03-30",64.790001
"2012-04-06",64.129997
"2012-04-13",63.049999
"2012-04-20",64.339996
"2012-04-27",64.209999
"2012-05-04",58.700001
"2012-05-11",58.389999
"2012-05-18",57.990002
"2012-05-25",57.099998
"2012-06-01",58.860001
"2012-06-08",57.84
"2012-06-15",56.66
"2012-06-22",56.630001
"2012-06-29",60.27
"2012-07-06",57.27
"2012-07-13",59.349998
"2012-07-20",59.209999
"2012-07-27",59.029999
"2012-08-03",61.549999
"2012-08-10",61.150002
"2012-08-17",60.830002
"2012-08-24",61.150002
"2012-08-31",63.869999
"2012-09-07",65.800003
"2012-09-14",65.190002
"2012-09-21",65.379997
"2012-09-28",71.389999
"2012-10-05",69.419998
"2012-10-12",68.900002
"2012-10-19",66.660004
"2012-10-26",68.830002
"2012-11-02",65.949997
"2012-11-09",64.589996
"2012-11-16",67.559998
"2012-11-23",68.349998
"2012-11-30",69.800003
"2012-12-07",69.559998
"2012-12-14",69.019997
"2012-12-21",66.220001
"2012-12-28",68.809998
"2013-01-04",69.169998
"2013-01-11",69.889999
"2013-01-18",71.339996
"2013-01-25",71.889999
"2013-02-01",72.949997
"2013-02-08",73.129997
"2013-02-15",73.849998
"2013-02-22",74.360001
"2013-03-01",77.57
"2013-03-08",78.260002
"2013-03-15",74.300003
"2013-03-22",75.970001
"2013-03-29",76.610001
"2013-04-05",77.779999
"2013-04-12",75.57
"2013-04-19",79.330002
"2013-04-26",79.489998
"2013-05-03",80.089996
"2013-05-10",80.610001
"2013-05-17",82.519997
"2013-05-24",82.839996
"2013-05-31",79.550003
"2013-06-07",81.080002
"2013-06-14",79.519997
"2013-06-21",80.220001
"2013-06-28",72.68
"2013-07-05",75.199997
"2013-07-12",75.440002
"2013-07-19",73.139999
"2013-07-26",74.849998
"2013-08-02",72.980003
"2013-08-09",71.529999
"2013-08-16",74.099998
"2013-08-23",72.720001
"2013-08-30",74
"2013-09-06",74.160004
"2013-09-13",77.550003
"2013-09-20",75.870003
"2013-09-27",73.139999
"2013-10-04",71.260002
"2013-10-11",72.849998
"2013-10-18",73.5
"2013-10-25",73.5
"2013-11-01",75.550003
"2013-11-08",77.059998
"2013-11-15",78.43
"2013-11-22",77.610001
"2013-11-29",75.790001
"2013-12-06",74.080002
"2013-12-13",79.510002
"2013-12-20",82.150002
"2013-12-27",81.129997
"2014-01-03",82.949997
"2014-01-10",84.120003
"2014-01-17",83.919998
"2014-01-24",80.720001
"2014-01-31",78.519997
"2014-02-07",81.739998
"2014-02-14",83.379997
"2014-02-21",83.360001
"2014-02-28",83.800003
"2014-03-07",82.089996
"2014-03-14",83.059998
"2014-03-21",78.800003
"2014-03-28",79.349998
"2014-04-04",76.830002
"2014-04-11",78.900002
"2014-04-18",78.360001
"2014-04-25",79.839996
"2014-05-02",78.830002
"2014-05-09",78.419998
"2014-05-16",79.449997
"2014-05-23",80.419998
"2014-05-30",83.580002
"2014-06-06",82.419998
"2014-06-13",83.059998
"2014-06-20",81.529999
"2014-06-27",81.550003
"2014-07-04",79.769997
"2014-07-11",79.239998
"2014-07-18",80.690002
"2014-07-25",79.279999
"2014-08-01",77.5
"2014-08-08",79.269997
"2014-08-15",80.82
"2014-08-22",81.019997
"2014-08-29",81.760002
"2014-09-05",81.510002
"2014-09-12",80.459999
"2014-09-19",78.980003
"2014-09-26",79.43
"2014-10-03",78.190002
"2014-10-10",76.150002
"2014-10-17",78.080002
"2014-10-24",80.620003
"2014-10-31",83.239998
"2014-11-07",84.440002
"2014-11-14",83.440002
"2014-11-21",85.150002
